validation,seed,prediction_window,feature_group,model,n_train,n_test,test_at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.8019331083154342,0.8617092866756393,0.7442603894216797,0.7986901606112584,0.8743690591112147,0.902032301765755,0.8053443643565987,2666,411,880,2561
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.8089904878797177,0.8682092555331992,0.7523975588491717,0.8061653432975245,0.8902732604599736,0.9177938004600665,0.8123378759471728,2684,393,852,2589
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.8056152193924516,0.8735395189003436,0.7387387387387387,0.800503857660211,0.8839528721168777,0.9099411478351163,0.8095708643319953,2709,368,899,2542
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.8106781221233508,0.8612111292962357,0.7646033129904097,0.8100369458128078,0.8939514015782272,0.920563010777421,0.8134033789521434,2653,424,810,2631
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.8119054924823565,0.8678180006642312,0.7593722755013078,0.8099814011159331,0.8932834729117243,0.920347997333938,0.815012754585233,2679,398,828,2613
repeated_stratified_student_group_train_test,46,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.8137465480208653,0.8791283622744297,0.7503632664922988,0.8096582000627156,0.8917291598369732,0.9192578096353281,0.8174955753975957,2722,355,859,2582
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.8042344277385701,0.8723770209838321,0.7369950595757048,0.7989918084436043,0.8856431887662559,0.9139040835424771,0.8082115369376737,2706,371,905,2536
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.7887388769561215,0.860587002096436,0.7157802964254577,0.7815326035221323,0.8715336679210164,0.8972067374081752,0.7930542691097064,2678,399,978,2463
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.8062289045719546,0.8701563562202583,0.7439697762278408,0.8021306595644682,0.8887056303685403,0.9152261623605986,0.8099114399501245,2695,382,881,2560
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.8051549555078245,0.8834334157541505,0.7268235977913398,0.7975127551020408,0.8861946643719841,0.9141691696491026,0.8097881394871551,2747,330,940,2501
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.8091439091745934,0.8638622060284863,0.7579192095321128,0.8074303405572756,0.8934252849723511,0.9194794118193763,0.8121737744118153,2666,411,833,2608
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.8123657563669837,0.8766983695652174,0.7500726532984597,0.8084573218480814,0.8935339461616627,0.9196630543726365,0.8160503012998637,2714,363,860,2581
repeated_stratified_student_group_train_test,47,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.8085302239950906,0.8784949948222299,0.7396105783202558,0.803092458188703,0.8923593097327465,0.9185459047675697,0.8126067191243788,2725,352,896,2545
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,Logistic Regression,26074,6519,0.5279950912716674,0.8008897070102776,0.8694004135079255,0.7330040674026729,0.7953972257250945,0.8803054545948961,0.9096383517291147,0.8049160733503452,2698,379,919,2523
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,Decision Tree,26074,6519,0.5279950912716674,0.7893848749808253,0.8575872796405116,0.720801859384079,0.7832675611681137,0.8664378756597327,0.8980879258137144,0.7934526034001967,2665,412,961,2481
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,Random Forest,26074,6519,0.5279950912716674,0.8016566958122412,0.8656005444028582,0.7391051714119697,0.7973671838269863,0.886013490278664,0.9148662341761344,0.8053666903533687,2682,395,898,2544
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,Linear SVM,26074,6519,0.5279950912716674,0.7993557294063507,0.8775654635527247,0.7205113306217316,0.7913209955328654,0.8805124221110046,0.9087987088783955,0.804032070900726,2731,346,962,2480
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.8050314465408805,0.8643840214837194,0.7481115630447415,0.8020557545553653,0.888800234235864,0.9169331559281095,0.8084074227313405,2673,404,867,2575
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,LightGBM,26074,6519,0.5279950912716674,0.8073324129467709,0.8715159755268524,0.7449157466589192,0.8032581453634086,0.8869813844427277,0.9159063838976177,0.8110344089160699,2699,378,878,2564
repeated_stratified_student_group_train_test,48,day_56,demographic_vle_assessment,CatBoost,26074,6519,0.5279950912716674,0.804264457738917,0.8742225293711127,0.7350377687391052,0.7986111111111112,0.8879836473001598,0.9165240171845437,0.8083703630825847,2713,364,912,2530
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.8036207425590672,0.8678924072182499,0.7407730310956118,0.7993101285669489,0.8822503718139392,0.9100584163305785,0.8073380917584005,2689,388,892,2549
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.7908867750843818,0.8648174157303371,0.7157802964254577,0.7832723803466369,0.8711981452134722,0.8971447548387983,0.7953292122361283,2692,385,978,2463
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.8053083768027002,0.8734525447042641,0.7381575123510608,0.8001260040951331,0.8880776527520842,0.9156669985358568,0.8092802511381563,2709,368,901,2540
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.8019331083154342,0.8732638888888888,0.7308921825050857,0.7957601645309287,0.8829702462901956,0.9102719489587469,0.8061350740279735,2712,365,926,2515
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.8097575943540963,0.8674457429048414,0.7550130775937227,0.8073337476693598,0.8913549138894312,0.9181208765376064,0.8129956515690421,2680,397,843,2598
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.8065357471617061,0.8699932111337406,0.7448416158093577,0.8025677156724597,0.8897185736587332,0.9167288043939599,0.8101848638032814,2694,383,878,2563
repeated_stratified_student_group_train_test,49,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.8077631175207118,0.8777624309392266,0.7387387387387387,0.8022723686286887,0.8904046833586498,0.9174477148328897,0.8118458074584172,2723,354,899,2542
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,Logistic Regression,26073,6520,0.5280674846625767,0.801840490797546,0.8639593908629442,0.7415045018878885,0.7980618943419818,0.8840077284446046,0.9116309643648437,0.8054288840281172,2675,402,890,2553
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,Decision Tree,26073,6520,0.5280674846625767,0.7906441717791411,0.8620209059233449,0.7185593958756898,0.7837795026136544,0.8738855954973476,0.9001069598312403,0.7949313066476271,2681,396,969,2474
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,Random Forest,26073,6520,0.5280674846625767,0.8081288343558283,0.8702702702702703,0.7481847226256172,0.8046228330470092,0.8898235066632774,0.9170851741417148,0.8116939212738096,2693,384,867,2576
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,Linear SVM,26073,6520,0.5280674846625767,0.8015337423312884,0.8727020464793618,0.7307580598315423,0.7954473601011698,0.8842342693974039,0.9110576271092832,0.8057430208159986,2710,367,927,2516
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,XGBoost,26073,6520,0.5280674846625767,0.8116564417177914,0.867573846664454,0.7592216090618646,0.8097893432465924,0.8932383283505335,0.9199491021955963,0.81477492542791,2678,399,829,2614
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,LightGBM,26073,6520,0.5280674846625767,0.8122699386503067,0.8762292302475415,0.7505082776648272,0.8085106382978723,0.8940577930512528,0.9203298130805105,0.8159431216078442,2712,365,859,2584
repeated_stratified_student_group_train_test,50,day_56,demographic_vle_assessment,CatBoost,26073,6520,0.5280674846625767,0.8115030674846626,0.8780737704918032,0.746732500726111,0.8070946476220373,0.8924287748164994,0.919643963443265,0.8153552006392986,2720,357,872,2571
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.7970236268794109,0.8682197496522949,0.7256611450159838,0.7905651416811778,0.8791584627704854,0.9082833254992095,0.8012446121570007,2698,379,944,2497
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.7919607241485118,0.859358841778697,0.7244986922406277,0.7861873226111636,0.8680305369581686,0.8975250289225851,0.7959510035788774,2669,408,948,2493
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.801472844430807,0.8677629325111339,0.7361232199941877,0.7965408805031446,0.8842369684727658,0.9132695405880691,0.8053381780828917,2691,386,908,2533
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,Linear SVM,26075,6518,0.5279226756673826,0.7962565204050323,0.8763804773779836,0.7149084568439407,0.7874519846350833,0.8792966386244296,0.9074679101352332,0.801068138074229,2730,347,981,2460
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.8040810064436944,0.8657876943881001,0.7442603894216797,0.8004375683700579,0.8863185787399778,0.9144456007831789,0.8076193074830206,2680,397,880,2561
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,LightGBM,26075,6518,0.5279226756673826,0.801472844430807,0.869281045751634,0.7343795408311538,0.7961562696912413,0.8860494049985281,0.9147780522813518,0.805441314126984,2697,380,914,2527
repeated_stratified_student_group_train_test,51,day_56,demographic_vle_assessment,CatBoost,26075,6518,0.5279226756673826,0.7988646824179196,0.8697916666666666,0.7279860505666957,0.7925961082107261,0.8849633125635097,0.9139168712551391,0.8030570486827628,2702,375,936,2505
